,DW_NAME,VALUE
0,South Korea,1000
1,Indonesia,868
2,Vietnam,856
3,Malaysia,769
4,Thailand,734
5,Japan,682
6,Hong Kong,668
7,Taiwan,668
8,Singapore,663
9,Philippines,643
10,Bangladesh,388
11,Qatar,361
12,Nigeria,344
13,Saudi Arabia,338
14,Bolivia,332
15,Maldives,332
16,Peru,298
17,United Arab Emirates,294
18,Sri Lanka,288
19,Oman,276
20,Kuwait,268
21,India,261
22,Bahrain,254
23,Pakistan,247
24,Nicaragua,227
25,El Salvador,225
26,Honduras,223
27,Mexico,207
28,Morocco,203
29,Ecuador,191
30,Guatemala,186
31,Dominican Republic,178
32,Chile,175
33,Jordan,173
34,Brazil,156
35,Colombia,155
36,Panama,152
37,Paraguay,146
38,Venezuela,132
39,Egypt,129
40,Costa Rica,124
41,Turkey,122
42,Mauritius,109
43,Kenya,104
44,Réunion,94
45,Romania,91
46,Greece,87
47,Martinique,86
48,New Caledonia,81
49,Guadeloupe,76
50,Argentina,74
51,New Zealand,73
52,Lebanon,73
53,Jamaica,69
54,France,65
55,Australia,63
56,Trinidad and Tobago,63
57,Bahamas,58
58,Bulgaria,57
59,South Africa,56
60,Portugal,55
61,Finland,54
62,Czech Republic,53
63,Hungary,53
64,Uruguay,51
65,Belgium,49
66,Italy,48
67,Slovakia,48
68,United States,47
69,Poland,47
70,Austria,47
71,Canada,46
72,Serbia,46
73,Estonia,45
74,Germany,45
75,Switzerland,44
76,Cyprus,44
77,Luxembourg,44
78,Israel,44
79,Lithuania,43
80,Latvia,41
81,Netherlands,39
82,United Kingdom,38
83,Croatia,36
84,Sweden,36
85,Norway,35
86,Slovenia,35
87,Spain,33
88,Denmark,31
89,Iceland,30
90,Malta,29
91,Russia,26
92,Ireland,23
93,Ukraine,22
